boundary,source_hs,all_targets,n_targets,source_survives,our_next_step,our_family_terminal,current_family_ids,inventory_variants,total_value_cad,first_period,last_period,why_excluded
2011->2012,3002.20.00.90,3002.10.00.90|3002.20.00.90,2,YES,3002.41.00.90,3002.41.00.90,IM_0033,1,11076237268.00,1988-01-01,2021-12-01,"PARTIAL TRANSFER: CBSA maps this code to itself AND to another code, so the tariff line survives while part of its scope moves. A single-terminal family model cannot represent a partial split in either direction. Excluded from the override per D-1; reported as a stated limitation."
2011->2012,3002.90.00.99,3002.10.00.90|3002.90.00.99,2,YES,3002.90.00.90,3002.90.00.90,IM_0054,2,685125802.00,1998-01-01,2016-12-01,"PARTIAL TRANSFER: CBSA maps this code to itself AND to another code, so the tariff line survives while part of its scope moves. A single-terminal family model cannot represent a partial split in either direction. Excluded from the override per D-1; reported as a stated limitation."
2016->2017,3003.90.00.90,3003.60.00.00|3003.90.00.90,2,YES,none,3003.90.00.90,IM_0064,2,7708625327.00,2012-01-01,2025-12-01,"PARTIAL TRANSFER: CBSA maps this code to itself AND to another code, so the tariff line survives while part of its scope moves. A single-terminal family model cannot represent a partial split in either direction. Excluded from the override per D-1; reported as a stated limitation."
2016->2017,3004.90.00.39,3004.60.00.00|3004.90.00.39,2,YES,3004.90.00.29,3004.90.00.29,IM_0180,2,3792547257.00,1998-01-01,2017-12-01,"PARTIAL TRANSFER: CBSA maps this code to itself AND to another code, so the tariff line survives while part of its scope moves. A single-terminal family model cannot represent a partial split in either direction. Excluded from the override per D-1; reported as a stated limitation."
2016->2017,3004.90.00.49,3004.60.00.00|3004.90.00.49,2,YES,none,3004.90.00.49,IM_0184,3,11518933786.00,1998-01-01,2025-12-01,"PARTIAL TRANSFER: CBSA maps this code to itself AND to another code, so the tariff line survives while part of its scope moves. A single-terminal family model cannot represent a partial split in either direction. Excluded from the override per D-1; reported as a stated limitation."
2016->2017,3004.90.00.50,3004.60.00.00|3004.90.00.50,2,YES,none,3004.90.00.50,IM_0185,2,23987128698.00,1998-01-01,2025-12-01,"PARTIAL TRANSFER: CBSA maps this code to itself AND to another code, so the tariff line survives while part of its scope moves. A single-terminal family model cannot represent a partial split in either direction. Excluded from the override per D-1; reported as a stated limitation."
2016->2017,3004.90.00.61,3004.60.00.00|3004.90.00.61,2,YES,none,3004.90.00.61,IM_0186,2,509079517.00,1998-01-01,2025-12-01,"PARTIAL TRANSFER: CBSA maps this code to itself AND to another code, so the tariff line survives while part of its scope moves. A single-terminal family model cannot represent a partial split in either direction. Excluded from the override per D-1; reported as a stated limitation."
2016->2017,3004.90.00.69,3004.60.00.00|3004.90.00.69,2,YES,none,3004.90.00.69,IM_0187,2,11361663824.00,1998-01-01,2025-12-01,"PARTIAL TRANSFER: CBSA maps this code to itself AND to another code, so the tariff line survives while part of its scope moves. A single-terminal family model cannot represent a partial split in either direction. Excluded from the override per D-1; reported as a stated limitation."
2016->2017,3004.90.00.74,3004.60.00.00|3004.90.00.74,2,YES,none,3004.90.00.74,IM_0191,3,17741356136.00,1998-01-01,2025-12-01,"PARTIAL TRANSFER: CBSA maps this code to itself AND to another code, so the tariff line survives while part of its scope moves. A single-terminal family model cannot represent a partial split in either direction. Excluded from the override per D-1; reported as a stated limitation."
2016->2017,3004.90.00.79,3004.60.00.00|3004.90.00.79,2,YES,none,3004.90.00.79,IM_0172,4,58397614966.00,1998-01-01,2025-12-01,"PARTIAL TRANSFER: CBSA maps this code to itself AND to another code, so the tariff line survives while part of its scope moves. A single-terminal family model cannot represent a partial split in either direction. Excluded from the override per D-1; reported as a stated limitation."
2016->2017,3004.90.00.90,3004.60.00.00|3004.90.00.90,2,YES,none,3004.90.00.90,IM_0197,2,11448492807.00,2012-01-01,2025-12-01,"PARTIAL TRANSFER: CBSA maps this code to itself AND to another code, so the tariff line survives while part of its scope moves. A single-terminal family model cannot represent a partial split in either direction. Excluded from the override per D-1; reported as a stated limitation."
