retiring_code,span_index,flow,last_period,total_value_cad,official_layer,official_outcome,outcome,candidates_in,candidates_vetoed,candidates_left,top_candidate,top_score,runner_up_score,margin,top_same_content_words,meaning_overlap,top_vetoed_candidate,top_vetoed_reason,review_flag,review_flag_other_candidates,risk_tier,risk_reason,held_for_official_evidence
30021000,1,exports,201612,2305274480.00,constraint_set,constrained,text_review,6,0,6,30021200,0.7871,0.7051,0.0820,no,0.6364,,,swapped term,,1,a relationship rule asks for a person: swapped term,no
30044100,1,exports,202605,104471710.00,none,silent_no_source,text_high,11,0,11,30044200,0.9114,0.8535,0.0579,no,0.8750,,,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
30049010,1,exports,198812,52047406.00,none,silent_no_source,text_review,2,1,1,30049000,0.7812,0.0000,0.7812,no,0.5000,,,basket contents,,1,a relationship rule asks for a person: basket contents,no
30042010,1,exports,198812,7651667.00,none,silent_no_source,text_review,1,0,1,30042000,0.7812,0.0000,0.7812,no,0.5000,,,basket contents,,1,a relationship rule asks for a person: basket contents,no
30043910,1,exports,198812,6819167.00,none,silent_no_source,text_high,1,0,1,30043900,0.9306,0.0000,0.9306,no,0.7143,,,basket contents,,1,a relationship rule asks for a person: basket contents,no
30049020,1,exports,198812,5163106.00,none,silent_no_source,text_review,3,2,1,30049000,0.7246,0.0000,0.7246,no,0.5000,,,basket contents,,1,a relationship rule asks for a person: basket contents,no
30041010,1,exports,198812,3401123.00,none,silent_no_source,text_high,1,0,1,30041000,0.8955,0.0000,0.8955,no,0.7143,,,basket contents,,1,a relationship rule asks for a person: basket contents,no
30041020,1,exports,198812,992811.00,none,silent_no_source,text_high,1,0,1,30041000,0.9091,0.0000,0.9091,no,0.7143,,,basket contents,,1,a relationship rule asks for a person: basket contents,no
30042020,1,exports,198812,718992.00,none,silent_no_source,text_review,1,0,1,30042000,0.7246,0.0000,0.7246,no,0.5000,,,basket contents,,1,a relationship rule asks for a person: basket contents,no
30034200,1,exports,202409,594838.00,tariff_schedule,silent_no_effect,text_review,6,0,6,30032000,0.8176,0.7722,0.0454,no,0.8125,,,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
30044300,1,exports,202203,497680.00,tariff_schedule,silent_no_effect,text_high,12,1,11,30044100,0.9290,0.8052,0.1238,no,0.8750,30044200,stimulant,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
30043920,1,exports,198812,304529.00,none,silent_no_source,text_high,1,0,1,30043900,0.9437,0.0000,0.9437,no,0.7143,,,basket contents,,1,a relationship rule asks for a person: basket contents,no
30045010,1,exports,198812,5171012.00,none,silent_no_source,text_high,1,0,1,30045000,0.8511,0.0000,0.8511,no,0.6667,,,,,2,scores 0.8511 above the automatic gate while sharing 0.6667 of its meaning words,no
30034100,1,exports,202009,16605.00,tariff_schedule,silent_no_effect,text_high,8,0,8,30034200,0.9057,0.8050,0.1007,no,0.7222,,,,swapped term,2,scores 0.9057 above the automatic gate while sharing 0.7222 of its meaning words,no
30029020,1,exports,198812,331522.00,none,silent_no_source,text_high,3,2,1,30029000,0.9221,0.0000,0.9221,no,0.7273,,,,,2,scores 0.9221 above the automatic gate while sharing 0.7273 of its meaning words,no
30029010,1,exports,198812,7990944.00,none,silent_no_source,text_high,3,2,1,30029000,0.9211,0.0000,0.9211,no,0.8000,,,,,2,scores 0.9211 above the automatic gate while sharing 0.8000 of its meaning words,no
30043220,1,exports,198811,47163.00,none,silent_no_source,text_review,2,1,1,30043200,0.6034,0.0000,0.6034,no,0.5000,30043210,use,,,3,the highest scoring candidate was vetoed on meaning: use,no
30023010,1,exports,201606,9430362.00,tariff_schedule,silent_no_effect,text_review,2,0,2,30023000,0.5882,0.5750,0.0132,no,0.2500,,,,,4,the leader and the runner up are within 0.0132,no
30036000,1,exports,202308,7735481.00,tariff_schedule,silent_no_effect,text_review,7,0,7,30032000,0.7261,0.6795,0.0466,no,0.6471,,,,,4,the leader and the runner up are within 0.0466,no
30033100,1,exports,199304,745761.00,none,silent_no_source,text_review,9,4,5,30039000,0.7667,0.7333,0.0334,no,0.5000,,,,,4,the leader and the runner up are within 0.0334,no
30044000,1,exports,201612,1560656123.00,constraint_set,constrained,text_low,4,0,4,30044900,0.3836,0.2917,0.0919,no,0.0455,,,,,5,"nothing scores above 0.50, so text settles nothing",no
30012000,1,exports,202605,77599600.00,none,silent_no_source,text_low,1,0,1,30019000,0.4636,0.0000,0.4636,no,0.1429,,,,,5,"nothing scores above 0.50, so text settles nothing",no
30062000,1,exports,202112,72350467.00,wco_correlation,correlated_left_chapter,text_low,9,0,9,30063000,0.2947,0.2745,0.0202,no,0.0909,,,,,5,"nothing scores above 0.50, so text settles nothing",no
30029020,2,exports,201611,10613008.00,tariff_schedule,silent_no_effect,text_low,2,0,2,30029010,0.4286,0.1364,0.2922,no,0.0000,,,,,5,"nothing scores above 0.50, so text settles nothing",no
30011000,1,exports,200610,5567265.00,wco_correlation,forced,text_low,1,0,1,30019000,0.3803,0.0000,0.3803,no,0.1538,,,,,5,"nothing scores above 0.50, so text settles nothing",no
30034000,1,exports,201611,2243690.00,constraint_set,constrained,text_low,4,0,4,30034900,0.3399,0.3007,0.0392,no,0.0435,,,,,5,"nothing scores above 0.50, so text settles nothing",no
30031000,1,exports,202605,2184328.00,none,silent_no_source,text_low,4,0,4,30033900,0.4277,0.3418,0.0859,no,0.3333,,,,,5,"nothing scores above 0.50, so text settles nothing",no
