link_id,row,verdict,status,priority,why_this_needs_you,flow,retiring_code,retiring_description,last_traded,value_cad,proposed_successor,proposed_successor_description,proposed_successor_first_traded,proposed_successor_last_traded,successor_began_at_the_boundary,successor_is_more_aggregate,months_gap,gap_named_by_the_record,suggested_decision,why_not_recommended,wording_match,shared_meaning_words,runner_up,runner_up_description,runner_up_first_traded,runner_up_last_traded,runner_up_wording_match,other_candidates_considered,official_record,closest_removed_candidate,closest_removed_description,closest_removed_first_traded,closest_removed_last_traded,closest_removed_wording_match,closest_removed_why,candidates_removed_on_meaning,record_overruled_gate,official_record_note,record_narrowed_note,best_candidate_passing_every_rule,best_candidate_description,best_candidate_wording_match,best_candidate_is_the_leftover_line,how_they_relate,family_of_the_retiring_code,family_evidence,class_residual_available,class_residual_description,class_residual_wording_match,same_wording_reappears_at,same_wording_reappears_from,same_wording_gap_months,substance_named_again_later,successor_also_retires,chain_ends_at,chain_hops,successor_swaps_a_term,term_in_the_retiring_code,term_in_the_successor,successor_was_carved_out_of_it,carved_out_term,carved_out_by,a_leftover_line_widened_here,widened_line,widened_line_added_terms,widened_line_rank,successor_co_traded_months,codes_never_considered,closest_never_considered,closest_never_considered_description,closest_never_considered_wording_match
imports:3004.32.00.89:2001-12,1,ANALYST - a candidate is shown but NOT recommended,decide,1,"a list lost an item, or one code is the leftover case of the other",imports,3004.32.00.89,"Adrenal cortical hormones, nes, for human use, in dosage",2001-12,128397239.00,3004.32.00.11,"Hydrocortisone, for human use, in dosage",2002-01,2011-12,yes,no,0,no,none,"SAME FRAME, DIFFERENT TERM: adrenal cortical hormone against hydrocortisone. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",0.7473,0.4286,3004.32.00.19,"Medicaments containing corticosteroid hormones, for human use, nes",2002-01,2011-12,0.6325,0,no official source reaches this boundary,3004.32.00.20,"Corticosteriod hormones, for veterinary use, in dosage",2002-01,2011-12,0.6667,use,3004.32.00.20 (use); 3004.32.00.00 (continuity),none,no official source reaches 200201,,3004.32.00.19,"Medicaments containing corticosteroid hormones, for human use, nes",0.6325,yes,same class,Adrenal cortical hormones,"asserted, unsourced",3004.32.00.19,"Medicaments containing corticosteroid hormones, for human use, nes (0.6325)",0.6325,,,,NO,,,,yes,adrenal cortical hormone,hydrocortisone,yes,hydrocortisone,3004.32.00.81,no,,,,,236,3004.39.00.85,"Hormones, nes, for human use, in dosage",0.8090
exports:3004.90.10:1988-12,2,CONFIRM - the evidence supports this link,decide,1,"a list lost an item, or one code is the leftover case of the other",exports,3004.90.10,"Medicaments nes, in dosage, for human use",1988-12,52047406.00,3004.90.00,"Medicaments nes, in dosage",1989-01,2017-12,yes,yes,0,no,approve,,0.7812,0.5000,,,,,,0,no official source reaches this boundary,3004.90.90,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",2018-01,2026-06,0.4538,continuity,3004.90.90 (continuity),none,no official source reaches 198901,,,,,,unknown,,,,,,,,,NO,yes,3004.60.00,2,no,,,no,,,no,,,,,60,3004.49.00,"Medi,cont alkaloids/deriv t/o,nes,therap/prophltc,doses/frs,o/t No 30.02/05/06",0.5548
imports:3004.90.99.40:1989-12,3,CONFIRM - the evidence supports this link,decide,1,"a list lost an item, or one code is the leftover case of the other",imports,3004.90.99.40,"Anti-infective agents, for human use, in dosage",1989-12,45447503.00,3004.90.99.49,"Anti-infective agents, for human use, in dosage, nes",1990-01,1997-12,yes,no,0,no,approve,,0.9574,1.0000,3004.90.99.60,"Antineoplastic agents, for human use, in dosage",1988-01,1997-12,0.8667,26,no official source reaches this boundary,3004.90.00.69,"Anti-infective agents, for human use, in dosage, nes",1998-01,2026-06,0.9574,continuity,3004.90.00.69 (continuity); 3004.90.00.72 (continuity); 3004.90.00.33 (continuity); 3004.90.00.34 (continuity); 3004.90.00.61 (continuity); 3004.90.00.49 (continuity); 3004.90.00.71 (continuity); 3004.90.00.77 (continuity); 3004.90.00.42 (continuity); 3004.90.00.31 (continuity); 3004.90.00.43 (continuity); 3004.90.00.75 (continuity); 3004.90.00.32 (continuity); 3004.90.00.79 (continuity); 3004.90.00.36 (continuity); 3004.90.00.24 (continuity); 3004.90.00.41 (continuity); 3004.90.00.25 (continuity); 3004.90.00.73 (continuity); 3004.90.99.93 (use); 3004.90.00.81 (continuity;use); 3004.90.99.91 (use); 3004.90.00.76 (continuity); 3004.90.00.74 (continuity); 3004.90.00.89 (continuity;use); 3004.90.99.99 (use); 3004.90.00.90 (continuity;use); 3004.90.00.35 (continuity); 3004.90.00.50 (continuity); 3004.90.00.22 (continuity); 3004.90.00.23 (continuity); 3004.90.00.78 (continuity); 3004.90.00.39 (continuity); 3004.90.00.27 (continuity); 3004.90.00.11 (continuity); 3004.90.00.19 (continuity); 3004.90.00.20 (continuity); 3004.90.00.29 (continuity); 3004.90.00.26 (continuity); 3004.90.00.12 (continuity); 3004.90.00.21 (continuity),none,no official source reaches 199001,,,,,,its own leftover line,"Anti-infective agents, for human use, in dosage, nes",derived from the tariff block,,,,,,,yes,yes,3004.90.00.69,2,no,,,no,,,no,,,,,311,3004.20.00.69,"Antibiotics, nes, for human use, in dosage",0.7857
imports:3004.90.10.90:1997-12,4,CONFIRM - the evidence supports this link,decide,1,"a list lost an item, or one code is the leftover case of the other",imports,3004.90.10.90,"Mx of amino acids & protein hydrolysates, etc, in dosage",1997-12,40955791.00,3004.90.00.19,"Mx of amino acids & protein hydrolysates, etc, in dosage, nes",1998-01,2026-06,yes,no,0,no,approve,,0.9630,1.0000,3004.90.00.11,"Mixtures of amino acids, nes, in dosage",1998-01,2026-06,0.6966,27,no official source reaches this boundary,3004.90.00.21,"Medi cont cannabis/cannabinoids, therap/prophltc uses, doses/pack f retail sale",2018-04,2026-06,0.4031,continuity,3004.90.00.21 (continuity); 3004.90.00.90 (continuity); 3004.90.00.25 (continuity); 3004.90.00.27 (continuity); 3004.90.00.22 (continuity); 3004.90.00.24 (continuity); 3004.90.00.26 (continuity); 3004.90.00.29 (continuity); 3004.90.00.23 (continuity),none,no official source reaches 199801,,,,,,a catch-all line that may cover it,,,,,,,,,yes,,,,no,,,no,,,no,,,,,207,3004.50.00.10,"Mx of amino acids & vitamins,& mx of amino acids, protein hydrolysates & vit,etc",0.6720
imports:3004.32.00.90:2001-12,5,ANALYST - a candidate is shown but NOT recommended,decide,1,"a list lost an item, or one code is the leftover case of the other",imports,3004.32.00.90,"Adrenal cortical hormones, for vet use, in dosage",2001-12,38149408.00,3004.32.00.20,"Corticosteriod hormones, for veterinary use, in dosage",2002-01,2011-12,yes,no,0,no,none,"SAME FRAME, DIFFERENT TERM: adrenal cortical against corticosteriod. The wording match is scoring the boilerplate these two share, not the word that says what the goods are.",0.7475,0.5714,,,,,,0,no official source reaches this boundary,3004.32.00.11,"Hydrocortisone, for human use, in dosage",2002-01,2011-12,0.6824,use,3004.32.00.11 (use); 3004.32.00.19 (use); 3004.32.00.00 (continuity),none,no official source reaches 200201,,,,,,same class,Adrenal cortical hormones,"asserted, unsourced",,,,,,,yes,,,,yes,adrenal cortical,corticosteriod,no,,,no,,,,,236,3004.39.00.81,"Anterior pituitary hormones, for human use, in dosage",0.7143
imports:3002.90.10.10:1996-12,6,CONFIRM - the evidence supports this link,decide,1,"a list lost an item, or one code is the leftover case of the other",imports,3002.90.10.10,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",1996-12,17090674.00,3002.90.00.19,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",1998-01,2016-12,no,no,12,no,approve,,0.9718,1.0000,3002.90.10.19,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",1997-01,1997-12,0.9718,13,no official source reaches this boundary,3002.90.00.10,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates",2017-01,2021-12,1.0000,continuity,3002.90.00.10 (continuity); 3002.90.00.93 (continuity); 3002.90.00.30 (continuity); 3002.90.00.40 (continuity); 3002.90.00.12 (continuity); 3002.90.00.90 (continuity); 3002.90.00.50 (continuity),none,no official source reaches 199701,,,,,,its own leftover line,"Toxins, toxoids, antitoxins, viruses, bacteriophage and bacterial lysates, nes",derived from the tariff block,,,,3002.90.00.10,2017-01,240,yes,,,,no,,,no,,,no,,,,,341,3005.90.00.20,"Dressings & sim articles coated or impreg w pharm substances, nes",0.3969
imports:3004.10.00.14:1991-12,7,CONFIRM - the evidence supports this link,decide,6,"the wording and the meaning both match, please spot check",imports,3004.10.00.14,"Amoxycillin for human use, in dosage",1991-12,9591808.00,3004.10.00.13,"Amoxycillin for human use, in dosage",1988-01,2011-12,no,no,0,no,approve,,1.0000,1.0000,3004.10.00.12,"Penicillin V for human use, in dosage",1988-01,2011-11,0.8451,3,no official source reaches this boundary,3004.10.00.31,"Penicillins or their derivs, for vet use, in dosage",1988-01,2011-12,0.5952,use,3004.10.00.31 (use); 3004.10.00.32 (use); 3004.10.00.10 (continuity); 3004.10.00.90 (continuity;use),none,no official source reaches 199201,,,,,,the same commodity under a new number,"Penicillins or their derivs nes, for human use, in dosage",derived from the tariff block,,,,,,,yes,,,,no,,,no,,,no,,,,46,363,3004.40.00.50,"Aminophylline, for human use, in dosage",0.8889
exports:3004.20.10:1988-12,8,CONFIRM - the evidence supports this link,decide,1,"a list lost an item, or one code is the leftover case of the other",exports,3004.20.10,"Antibiotics nes, in dosage, for human use",1988-12,7651667.00,3004.20.00,"Antibiotics nes, in dosage",1989-01,2026-06,yes,yes,0,no,approve,,0.7812,0.5000,,,,,,0,no official source reaches this boundary,,,,,,,none,none,no official source reaches 198901,,,,,,unknown,,,,,,,,,,,,,no,,,no,,,no,,,,,62,3004.90.00,"Medicaments nes, in dosage",0.5625
exports:3004.39.10:1988-12,9,CONFIRM - the evidence supports this link,decide,1,"a list lost an item, or one code is the leftover case of the other",exports,3004.39.10,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive,human use",1988-12,6819167.00,3004.39.00,"Hormones nes, not containing antibiotics, in dosage,o/t contraceptive",1989-01,2026-06,yes,yes,0,no,approve,,0.9306,0.7143,,,,,,0,no official source reaches this boundary,,,,,,,none,none,no official source reaches 198901,,,,,,unknown,,,,,,,,,yes,,,,no,,,no,,,no,,,,,62,3003.39.00,"Hormones nes, formulated, not cntg antibiotics, in bulk, o/t contraceptives",0.7568
exports:3004.90.20:1988-12,10,CONFIRM - the evidence supports this link,decide,1,"a list lost an item, or one code is the leftover case of the other",exports,3004.90.20,"Medicaments nes, in dosage, for veterinary use",1988-12,5163106.00,3004.90.00,"Medicaments nes, in dosage",1989-01,2017-12,yes,yes,0,no,approve,,0.7246,0.5000,,,,,,0,no official source reaches this boundary,3004.90.90,"Medicaments,nes,therap/prophltc uses,doses/pack f retail sale,o/t No 30.02/05/06",2018-01,2026-06,0.4516,continuity,3004.90.90 (continuity); 3004.90.10 (continuity),none,no official source reaches 198901,,,,,,unknown,,,,,,,,,,yes,3004.60.00,2,no,,,no,,,no,,,,,60,3002.30.10,"Vaccines against foot or mouth disease, veterinary use",0.5567
