retiring_code,span_index,flow,last_period,total_value_cad,official_layer,official_outcome,outcome,candidates_in,candidates_vetoed,candidates_left,top_candidate,top_score,runner_up_score,margin,top_same_content_words,meaning_overlap,top_vetoed_candidate,top_vetoed_reason,review_flag,review_flag_other_candidates,risk_tier,risk_reason,held_for_official_evidence
3002200010,1,imports,202112,902421504.00,wco_correlation,narrowed,text_review,2,0,2,3002410010,0.8247,0.7619,0.0628,no,0.7143,,,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
3002900010,1,imports,202112,825580243.00,tariff_schedule,silent_no_effect,text_high,5,0,5,3002900020,0.9466,0.3221,0.6245,no,0.8571,,,basket contents,,1,a relationship rule asks for a person: basket contents,no
3004320089,1,imports,200112,128397239.00,none,silent_no_source,text_review,4,2,2,3004320011,0.7473,0.6325,0.1148,no,0.4286,,,swapped term,,1,a relationship rule asks for a person: swapped term,no
3004909940,1,imports,198912,45447503.00,none,silent_no_source,text_high,69,41,28,3004909949,0.9574,0.8667,0.0907,no,1.0000,3004900069,continuity,basket contents,basket contents;swapped term,1,a relationship rule asks for a person: basket contents,no
3004901090,1,imports,199712,40955791.00,none,silent_no_source,text_high,38,9,29,3004900019,0.9630,0.6966,0.2664,no,1.0000,,,basket contents,,1,a relationship rule asks for a person: basket contents,no
3004320090,1,imports,200112,38149408.00,none,silent_no_source,text_review,4,3,1,3004320020,0.7475,0.0000,0.7475,no,0.5714,,,swapped term,,1,a relationship rule asks for a person: swapped term,no
3002901010,1,imports,199612,17090674.00,none,silent_no_source,text_high,22,7,15,3002900019,0.9718,0.9718,0.0000,no,1.0000,3002900010,continuity,basket contents,basket contents,1,a relationship rule asks for a person: basket contents,no
3004410000,1,imports,202605,8250035.00,none,silent_no_source,text_high,52,0,52,3004430000,0.9290,0.9114,0.0176,no,0.8750,,,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
3004409020,1,imports,199707,4869341.00,none,silent_no_source,text_review,15,0,15,3004400020,0.7792,0.7792,0.0000,no,0.5000,,,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
3004329012,1,imports,199706,1190222.00,none,silent_no_source,text_review,13,7,6,3004320081,0.7733,0.7733,0.0000,no,0.6000,3004320082,continuity,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
3004200052,1,imports,199611,1094147.00,none,silent_no_source,text_high,21,9,12,3004200063,0.8529,0.8406,0.0123,no,0.6000,,,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
3004200064,1,imports,199112,510594.00,none,silent_no_source,text_high,22,9,13,3004200063,0.9412,0.8986,0.0426,no,0.6000,,,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
3004409060,1,imports,199403,217467.00,none,silent_no_source,text_high,17,7,10,3004409050,0.9231,0.9149,0.0082,no,0.7143,3004400040,continuity,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
3004200066,1,imports,199101,185394.00,none,silent_no_source,text_high,23,9,14,3004200064,0.9014,0.8767,0.0247,no,0.6000,,,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
3004909993,1,imports,199106,161155.00,none,silent_no_source,text_review,67,61,6,3004909991,0.7805,0.7674,0.0131,no,0.6000,3004900081,continuity,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
3004409011,1,imports,199612,111515.00,none,silent_no_source,text_review,16,1,15,3004409020,0.8434,0.8132,0.0302,no,0.4286,,,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
3006809042,1,imports,200604,86732.00,wco_correlation,correlated_no_candidate,text_high,5,0,5,3006809041,0.9412,0.8403,0.1009,no,0.5556,,,swapped term,,1,a relationship rule asks for a person: swapped term,no
3002102920,1,imports,199104,77143.00,none,silent_no_source,text_review,24,21,3,3002102990,0.6667,0.5474,0.1193,no,0.5000,3002100051,continuity;use,basket contents,basket contents,1,a relationship rule asks for a person: basket contents,no
3003430000,1,imports,202506,21630.00,tariff_schedule,silent_no_effect,text_high,9,0,9,3003410000,0.9434,0.8481,0.0953,no,0.8235,,,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
3003410000,1,imports,202605,14190.00,none,silent_no_source,text_high,6,0,6,3003900030,0.8931,0.8050,0.0881,no,0.8235,,,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
3006809030,1,imports,200501,7134.00,wco_correlation,correlated_no_candidate,text_high,9,0,9,3006809010,0.9804,0.9804,0.0000,no,0.7143,,,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
3004200042,1,imports,199007,4757.00,none,silent_no_source,text_high,24,9,15,3004200041,0.9275,0.9118,0.0157,no,0.6000,,,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
3006809020,1,imports,200511,539.00,wco_correlation,correlated_no_candidate,text_high,6,0,6,3006809050,0.9804,0.9804,0.0000,no,0.7143,,,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
3006809010,1,imports,200510,53.00,wco_correlation,correlated_no_candidate,text_high,7,0,7,3006809020,0.9804,0.9804,0.0000,no,0.7143,,,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
3004320082,1,imports,200111,25.00,none,silent_no_source,text_review,8,3,5,3004320011,0.7733,0.7733,0.0000,no,0.6000,,,swapped term,swapped term,1,a relationship rule asks for a person: swapped term,no
3006809043,1,imports,200508,36718.00,wco_correlation,correlated_no_candidate,text_high,8,0,8,3006809010,0.9159,0.9159,0.0000,no,0.3333,,,,swapped term,2,scores 0.9159 above the automatic gate while sharing 0.3333 of its meaning words,no
3004200065,1,imports,198904,128029.00,none,silent_no_source,text_high,25,9,16,3004200064,1.0000,0.9412,0.0588,yes,0.6000,,,,swapped term,2,scores 1.0000 above the automatic gate while sharing 0.6000 of its meaning words,no
3003420000,1,imports,202401,193.00,tariff_schedule,silent_no_effect,text_high,10,1,9,3003410000,0.9057,0.8481,0.0576,no,0.7222,3003430000,stimulant,,swapped term,2,scores 0.9057 above the automatic gate while sharing 0.7222 of its meaning words,no
3003409000,1,imports,199712,3954586.00,none,silent_no_source,text_high,1,0,1,3003400000,0.9054,0.0000,0.9054,no,0.7778,,,,,2,scores 0.9054 above the automatic gate while sharing 0.7778 of its meaning words,no
3002300010,1,imports,202112,803346426.00,wco_correlation,narrowed,text_high,2,0,2,3002420010,0.9744,0.2330,0.7414,no,0.9091,,,,,2,scores 0.9744 above the automatic gate while sharing 0.9091 of its meaning words,no
3003909900,1,imports,199412,158198908.00,none,silent_no_source,text_high,10,6,4,3003909990,1.0000,0.6154,0.3846,yes,1.0000,3003900099,continuity,,,3,the highest scoring candidate was vetoed on meaning: continuity,no
3002391000,1,imports,199512,74686051.00,none,silent_no_source,text_review,75,60,15,3002301000,0.6364,0.3019,0.3345,no,0.2000,3002420010,continuity,,,3,the highest scoring candidate was vetoed on meaning: continuity,no
3002399000,1,imports,199512,71013102.00,none,silent_no_source,text_high,75,60,15,3002309000,1.0000,0.4375,0.5625,yes,1.0000,3002300090,continuity,,,3,the highest scoring candidate was vetoed on meaning: continuity,no
3004329011,1,imports,199712,23749181.00,none,silent_no_source,text_high,9,6,3,3004320081,1.0000,0.7473,0.2527,yes,1.0000,3004320011,continuity,,swapped term,3,the highest scoring candidate was vetoed on meaning: continuity,no
3004509922,1,imports,198912,11347774.00,none,silent_no_source,text_high,26,19,7,3004509930,1.0000,0.6923,0.3077,yes,1.0000,3004500050,continuity,,swapped term,3,the highest scoring candidate was vetoed on meaning: continuity,no
3004509929,1,imports,198912,11260315.00,none,silent_no_source,text_high,26,18,8,3004509949,1.0000,0.8308,0.1692,yes,1.0000,3004500069,continuity,,swapped term,3,the highest scoring candidate was vetoed on meaning: continuity,no
3003909910,1,imports,199712,10818930.00,none,silent_no_source,text_high,6,2,4,3003900091,1.0000,0.5897,0.4103,yes,1.0000,3003900030,continuity,,,3,the highest scoring candidate was vetoed on meaning: continuity,no
3002901030,1,imports,199712,5096986.00,none,silent_no_source,text_low,13,6,7,3002900093,0.4595,0.4091,0.0504,no,0.1429,3002900030,origin,,,3,the highest scoring candidate was vetoed on meaning: origin,no
3002909020,1,imports,199706,1607419.00,none,silent_no_source,text_high,21,5,16,3002900092,1.0000,0.4091,0.5909,yes,1.0000,3002900040,continuity,,,3,the highest scoring candidate was vetoed on meaning: continuity,no
3004509921,1,imports,198912,1445854.00,none,silent_no_source,text_high,26,17,9,3004509941,1.0000,0.7816,0.2184,yes,1.0000,3004500061,continuity,,swapped term,3,the highest scoring candidate was vetoed on meaning: continuity,no
3004509930,1,imports,198912,1124520.00,none,silent_no_source,text_high,25,23,2,3004509950,1.0000,0.3333,0.6667,yes,1.0000,3004500070,continuity,,,3,the highest scoring candidate was vetoed on meaning: continuity,no
3002310000,1,imports,199507,671805.00,none,silent_no_source,text_review,77,62,15,3002309000,0.5750,0.5750,0.0000,no,0.4286,3002200030,use,,,3,the highest scoring candidate was vetoed on meaning: use,no
3003319100,1,imports,199005,129843.00,none,silent_no_source,text_low,5,3,2,3003319900,0.4242,0.4211,0.0031,no,0.1818,3003310090,continuity,,,3,the highest scoring candidate was vetoed on meaning: continuity,no
3004909992,1,imports,199106,69111.00,none,silent_no_source,text_review,67,38,29,3004909923,0.5455,0.5429,0.0026,no,0.2000,3004900043,continuity,,,3,the highest scoring candidate was vetoed on meaning: continuity,no
3002200090,1,imports,202112,11076237268.00,wco_correlation,narrowed,text_review,2,0,2,3002410010,0.6585,0.6222,0.0363,no,0.5000,,,,basket contents,4,the leader and the runner up are within 0.0363,no
3004390012,1,imports,202605,184895196.00,none,silent_no_source,text_review,4,0,4,3004390019,0.7389,0.7261,0.0128,no,0.5909,,,,,4,the leader and the runner up are within 0.0128,no
3004909950,1,imports,199712,148659591.00,none,silent_no_source,text_high,38,11,27,3004900071,1.0000,0.9556,0.0444,yes,1.0000,,,,swapped term,4,the leader and the runner up are within 0.0444,no
3004909983,1,imports,199712,146213780.00,none,silent_no_source,text_high,38,11,27,3004900077,1.0000,0.9556,0.0444,yes,1.0000,,,,swapped term,4,the leader and the runner up are within 0.0444,no
3004399910,1,imports,199712,97455853.00,none,silent_no_source,text_high,11,5,6,3004390081,1.0000,0.9515,0.0485,yes,1.0000,,,,swapped term,4,the leader and the runner up are within 0.0485,no
3004509911,1,imports,199712,34612678.00,none,silent_no_source,text_high,16,7,9,3004500031,1.0000,0.9737,0.0263,yes,1.0000,,,,swapped term,4,the leader and the runner up are within 0.0263,no
3004900020,1,imports,201112,21555796.00,cbsa_concordance,constrained,text_review,2,0,2,3004900079,0.5536,0.5299,0.0237,no,0.1667,,,,,4,the leader and the runner up are within 0.0237,no
3004509912,1,imports,199712,20986151.00,none,silent_no_source,text_high,16,7,9,3004500032,1.0000,0.9737,0.0263,yes,1.0000,,,,swapped term,4,the leader and the runner up are within 0.0263,no
3004409019,1,imports,199712,10263737.00,none,silent_no_source,text_high,7,0,7,3004400010,0.9293,0.8842,0.0451,no,1.0000,,,,swapped term,4,the leader and the runner up are within 0.0451,no
3003310000,1,imports,202603,2797436.00,none,silent_no_source,text_review,7,0,7,3003410000,0.7134,0.7051,0.0083,no,0.5500,,,,,4,the leader and the runner up are within 0.0083,no
3004399920,1,imports,199712,1779924.00,none,silent_no_source,text_high,11,5,6,3004390082,1.0000,0.9515,0.0485,yes,1.0000,,,,swapped term,4,the leader and the runner up are within 0.0485,no
