finding,found_on,found_by,link_id,retiring_code,what_looked_wrong,error_class,root_cause,response,rows_affected,value_cad_affected,control_added
1,2026-08-11,analyst,imports:3004.90.99.40:1989-12,3004.90.99.40,An anti-infective was given an antineoplastic as its successor at 0.8667 while an exact-wording match sat unused,different substance proposed,"Two causes at once. The similarity measure scores shared boilerplate, and the residual rule treated ""nes"" as excluding the goods it names when it is where they go.",rule corrected and a flagging rule added,5,118352487,yes
2,2026-08-11,analyst,imports:3004.90.10.90:1997-12,3004.90.10.90,Identical wording plus the residual marker was removed while a narrower code was proposed,residual misread as complement,"The rule fired only when two descriptions were identical once the marker was stripped, which is the signature of a succession rather than a complement.",marker list split into exclusionary and catch-all,5,118352487,yes
3,2026-08-11,analyst,exports:3004.20.20:1988-12,3004.20.20,Veterinary antibiotics mapped to a use-neutral code while a veterinary option seemed to exist,no defect,"Exports lost the human and veterinary split at the 1989 restructure and never regained it, while imports kept it. The merge was correct.",none; documented as a structural difference between the flows,0,0,no
4,2026-08-11,analyst,imports:3004.41.00.00:2026-05,3004.41.00.00,A code still trading in 2026 was listed as retired,retirement asserted at the data boundary,The test was span_end < delivery_end with no tolerance. At the edge of the data a retirement and a quiet month are the same observation.,spans stopping within twelve months of the delivery end are held,9,336293520,yes
5,2026-08-11,analyst,imports:3004.40.90.20:1997-07,3004.40.90.20,Quinidine sulphate was given Vincristine as its successor,different substance proposed,Both are alkaloids so they share a subheading and all their boilerplate; only the substance word differs and it carries no weight in a character comparison.,substance tracking added as evidence,13,740536655,yes
6,2026-08-11,analyst,imports:3004.32.90.12:1997-06,3004.32.90.12,Betamethasone reappeared under a new code with identical wording and was not proposed,same goods renumbered after a gap,"Structural narrowing and the continuity veto each hid it separately. The gap was 40 months, beyond the grace window.",same-wording search across the whole chapter added as evidence,5,86500000,yes
7,2026-08-11,analyst,imports:3004.20.00.52:1996-11,3004.20.00.52,Polymyxins was given Vancomycin; both antibiotics with different purposes,different substance proposed,As finding 5. Polymyxins is named once in thirty-eight years and never returns.,substance tracking reports that the substance never returns,13,740536655,yes
8,2026-08-11,analyst,imports:3004.20.00.64:1991-12,3004.20.00.64,Lincomycin was given Vancomycin,different substance proposed,As finding 5.,already covered by the flagging rule,13,740536655,yes
9,2026-08-11,analyst,imports:3004.40.90.60:1997-11,3004.40.90.60,Cocaine was given Morphine; same alkaloid class different purpose,different substance proposed,"HS groups by class at the subheading, so every sibling shares the class and differs only in substance.",already covered; recommendation withheld,28,3266715782,yes
10,2026-08-11,analyst,imports:3004.20.00.66:1997-12,3004.20.00.66,Spectinomycin was given Erythromycin,different substance proposed,As finding 9.,already covered; recommendation withheld,28,3266715782,yes
