distinction,one_side,other_side,kind,action,status,corpus_coverage_2026_08_10,why_it_matters,known_exceptions,added_by,added_on
use,human use; hum use; human medicine; in humans; in hum,veterinary use; vet use; veterinary medicine; veterinary medecine; vet medicine; vet med; in animals; in animal,phrase_pair,disqualify,active,248 one side / 53 other side of 572,"Goods for human use and goods for veterinary use are different commodities and are classified apart. The marker must be the stated USE, not the word human on its own: 22 descriptions say human blood or of human origin, which is a material and not a purpose, and a bare human marker read those as human-use. That is how 3002.90.10 and 3002.90.20 came to be offered as each other's successor. The same trap sits on the animal side and was missed when the human side was fixed: 36 descriptions say animal blood, of animal origin or human or animal substances, which is a material, while only 2 say for use in animals or for administration in animal, which is a purpose. Bare animal would have read the material as veterinary, so only the purpose forms are markers.","Descriptions naming both, such as gel preparations for human/vet medicine, carry each marker and correctly fail to separate. Wordings taken from the corpus on 2026-08-11, including the abbreviation vet use and the misspelling veterinary medecine, neither of which the earlier marker veterinary could match. Animal purpose wordings taken from the corpus 2026-08-11: in animals and in animal, matching the human side's in humans and in hum.",analysts,2026-08-05
packing,for retail sale,not for retail sale,phrase_pair,disqualify,active,80 one side / 18 other side of 572,"Whether a product is packaged for sale to the public decides which code it gets. Written short these are 'frs' and 'nfrs': one letter apart, opposite meanings. This is the clearest case where the matching score cannot see the thing that decides the answer.",,analysts,2026-08-05
dose form,in measured doses;doses;dosage,in bulk;bulk,phrase_pair,disqualify,active,299 one side / 32 other side of 572,"This separates two whole headings, not two sub-codes. Heading 3003 is medicine that is not measured into doses. Heading 3004 is medicine that is. Two products on opposite sides of this sit in different headings and are not the same thing.",,analysts,2026-08-05
origin,human origin,animal origin,phrase_pair,disqualify,active,8 one side / 9 other side of 572,Whether the material came from people or from animals. This describes the source material rather than who the product is for.,"Family IM_0051. At the 1998 revision the human-origin and animal-origin dried blood codes were both retired and replaced by one code, whose description still mentions only animal origin.",analysts,2026-08-05
modification,modified,unmodified;not modified,phrase_pair,disqualify,active,1 one side / 7 other side of 572,"Immunological products are separated by whether they have been modified. This is here mainly to protect code 3002.10.00.60, worth 1.58 billion dollars, which is the one routing still waiting on expert confirmation.","Wording such as 'whether or not modified' means either one, so it is not treated as a conflict.",analysts,2026-08-05
biotechnology,obtained by biotechnological processes;obtained by biotechnological process,not obtained by biotechnological processes,phrase_pair,disqualify,active,"0 one side / 0 other side of 572; ONE-SIDED, cannot fire on this delivery","Whether the product was made using biotechnology. Weak on its own, because most descriptions say 'whether or not obtained by biotechnological processes', which means either one. Kept because it costs nothing to check.",,analysts,2026-08-05
sterility,sterile,non-sterile;not sterile;other than sterile,phrase_pair,disqualify,active,"5 one side / 0 other side of 572; ONE-SIDED, cannot fire on this delivery","Sterile surgical materials are separated from non-sterile ones. In this delivery the contrast is carried by the subheading rather than by opposed wording: all 5 mentions are affirmative and all sit in 3006.10, which the Harmonized System defines as sterile surgical goods. Non-sterile equivalents are classified outside Chapter 30, so no description here can state the other side. A phrase pair cannot capture a distinction the nomenclature carries structurally, and that is why this rule reads as one-sided rather than as broken.","Corrected 2026-08-10. The denial list held only 'non-sterile', so 'not sterile' and 'other than sterile' both returned not mentioned instead of the other side, and the rule would have stayed silent rather than firing. No description in this delivery uses any of the three, so the correction changes no current result and closes a path by which the rule could fail without saying so.",analysts,2026-08-05
punctuation only,same content words with different punctuation or spacing,same content words with the same punctuation,punctuation_only,none,non_decisive,not applicable,"The inverse of a decisive distinction, recorded so the rule is stated rather than assumed. Statistics Canada rewrote punctuation without changing the goods. 25 import commodities are held under two strings each, 50 records worth CAD 42,982,705,212, and 21 of the pairs split at exactly 2002-01. A difference of this kind must never veto a link. Stage 0 missed 3 of the 25 groups until 2026-08-10, worth CAD 11,472,590,012: 3004900074 at CAD 10,243,535,741, 3004900076 at CAD 912,743,486 and 3005900040 at CAD 316,310,785. Its grouping key kept the spaces left behind by removed punctuation, so it could not see a space that had moved. Exports have no such pairs.","3005900040 swaps the connector, writing 'Dressings/sim art' against 'Dressings & sim art'. Both sides still read 'o/t of cotton', so it is a connector change and not a cotton distinction. Whether a twin pair is one commodity or two is a judgement for Stage 1, and this row records only that punctuation alone cannot settle it. Status is non_decisive so the checker skips the row, which reads active rows only.",analysts,2026-08-10
antibiotic content,containing antibiotics,not containing antibiotics,phrase_pair,disqualify,active,5 one side / 8 other side of 572,Whether a medicament contains an antibiotic decides its code inside heading 3004. The two wordings differ by one word and name products the tariff deliberately keeps apart.,,analysts,2026-08-10
mixing,mixed,unmixed;not mixed,phrase_pair,disqualify,active,27 one side / 16 other side of 572,"Whether the product is a mixture. This pair is one of the two reasons the matcher gained word boundaries on 2026-08-10: 'unmixed' contains 'mixed' as a substring, so a plain search read every denial as the assertion.","Wording such as 'whether or not mixed' means either one, so it is not treated as a conflict.",analysts,2026-08-10
